%
@relation cancer
@attribute BR_BR8T real
@attribute BR_BR10T real
@attribute BR_BR14T real
@attribute BR_BR16T real
@attribute BR_BR17T real
@attribute BR_BR20T real
@attribute BR_BR6T real
@attribute BR_BR15T real
@attribute BR_BR21T real
@attribute BR_BR29T real
@attribute BR_BR31T real
@attribute BR_BR32T real
@attribute BR_U1 real
@attribute BR_U16 real
@attribute BR_UX7 real
@attribute BR_UX8 real
@attribute BR_UX19 real
@attribute BR_B24T real
@attribute BR_B46T real
@attribute BR_B30T real
@attribute BR_B34T real
@attribute BR_B36T real
@attribute BR_B37T real
@attribute BR_B38T real
@attribute BR_B39T real
@attribute BR_B41T real
@attribute PR_PR29T real
@attribute PR_PR13BT real
@attribute PR_PR8T real
@attribute PR_PR21T real
@attribute PR_PR27T real
@attribute PR_PR9T real
@attribute PR_PR7T real
@attribute PR_PR19T real
@attribute PR_PR5T real
@attribute PR_PR24T real
@attribute PR_U40 real
@attribute PR_U41 real
@attribute PR_PR4 real
@attribute PR_PR3 real
@attribute PR_PR1 real
@attribute PR_PR10 real
@attribute PR_PR22 real
@attribute PR_PR12 real
@attribute PR_PR31 real
@attribute PR_PR30 real
@attribute PR_PR26 real
@attribute PR_PR16 real
@attribute PR_PR23 real
@attribute PR_PR6 real
@attribute PR_PR11 real
@attribute PR_PR17 real
@attribute LU_A_LU_A31T real
@attribute LU_A_LU_A34T real
@attribute LU_A_LU_A39T real
@attribute LU_A_LU_A8T real
@attribute LU_A_LU_A20T real
@attribute LU_A_LU_A5T real
@attribute LU_A_LU_A6T real
@attribute LU_A_LU_A17T real
@attribute LU_A_LU_A18T real
@attribute LU_S_LU_S19T real
@attribute LU_S_LU_S24T real
@attribute LU_S_LU_S25T real
@attribute LU_S_LU_S12T real
@attribute LU_S_LU_S13T real
@attribute LU_S_LU_S14T real
@attribute LU_S_LU_S11T real
@attribute LU_S_LU_S7T real
@attribute LUA_U17 real
@attribute LUA_UX4 real
@attribute LUA_LU40T real
@attribute LUA_LU44T real
@attribute LUA_LU33T real
@attribute LUS_U2 real
@attribute LUS_U19 real
@attribute LUS_LU41T real
@attribute LUS_LU30T real
@attribute LUS_LU26T real
@attribute LUS_LU36T real
@attribute CO_CO7T real
@attribute CO_CO9T real
@attribute CO_CO42T real
@attribute CO_CO15T real
@attribute CO_CO40T real
@attribute CO_CO27T real
@attribute CO_CO30T real
@attribute CO_CO32T real
@attribute CO_CO20T real
@attribute CO_CO24T real
@attribute CO_CO8T real
@attribute CO_U6 real
@attribute CO_U12 real
@attribute CO_CO14T real
@attribute CO_CO21T real
@attribute CO_CO23T real
@attribute CO_CO5T real
@attribute CO_CO43T real
@attribute CO_CO44T real
@attribute CO_CO49T real
@attribute CO_CO51T real
@attribute CO_CO56T real
@attribute CO_CO61T real
@attribute class_label real
@data
52.68,58.44,55.52,57.62,31.88,95.39,64.4,64.84,50.98,38.06,42.49,45.75,30.55,197.66,20,20,40.76,51.81,36.96,76.21,28.93,20,20,32.51,44.14,20,42.2,23.16,64.05,73.41,125.52,59.49,90.06,54.08,35.32,30.04,47.87,20,79.08,61.98,57,104.74,36.95,42.2,77.49,37.9,71.52,35.87,46.26,65.07,65.92,47.87,50.07,45.39,20,20,25.17,23.35,80.51,59.3,104.82,20,20,28.52,20,43.45,31.65,28.73,44.44,57.2,41.44,20,21.23,38.55,20,40.47,20,20,74.11,57.69,445.03,471.16,352.98,290.5,378.7,83.87,180.69,54.74,255.61,103.81,178.43,116.28,20,949.19,662.96,161.64,47.9,41.25,20,409,306.65,20.19,456.31,0
58.05,68.9,79.31,99.24,58.77,110.74,69.77,94.02,59.65,73.88,49.74,26.14,50.92,20,66.28,77.08,90.93,57.2,108.87,132.54,72.86,61.56,84.11,73.69,72.89,63.62,74.8,74.52,68.91,56.63,57.49,108.89,70.16,94.17,61.81,44.58,105.5,93.67,93.46,56.98,59,68.86,85.89,82.45,74.66,98.55,112.93,84,88.67,96.64,76.22,105.5,90.75,91.8,51.63,64.19,102.7,25.3,45.59,147.19,53.4,89.17,25.72,60,32,75.04,51.43,69.35,72.72,42.09,77.43,122.62,113.22,91.31,53.64,39.48,62.56,69.28,64.85,96.83,71.49,26.29,79.8,60.56,77.53,66.72,129.97,67.68,58.33,96.4,83.14,69.36,99.78,146.78,124.37,222.25,82.9,145.36,98.2,153.25,73.06,114.43,142.42,2
81.865,94.18,81.3375,109.0425,73.235,103.1325,48.37,59.17,72.635,62.93,102.235,67.19,35.88,114.6075,63.1175,30.81,40.3075,125.6125,101.3825,66.855,92.0525,137.0375,74.28,72.73,121.26,114.83,93.9825,92.105,82.6425,75,83.6,77.1325,61.575,69.44,56.85,91.5,30.27,97.315,87.7975,62.7325,103.25,119.0475,59.435,68.1525,101.63,95.045,80.995,84.3725,61.3225,68.1275,79.7825,30.27,82.4925,74.055,39.9425,40.3675,64.6225,207.05,75.475,32.2375,64.58,67.86,63.115,58.3575,323.3875,97.075,133.0775,115.17,230.7775,62.0725,222.1925,105.2025,75.4525,66.56,90.9875,530.5525,114.69,38.595,289.715,63.825,61.3475,35.025,63.04,53.1125,76.3475,70.0475,44.3425,50.0625,82.6525,52.6375,33.5875,68.395,71.1425,68.7125,106.2125,44.8025,36.2525,51.0075,40.025,60.5125,49.4125,58.1275,56.145,2
20,20,20,20,35.4,20,20,20,20,20,20,20,20,20,75.535,151.08,40.31,20,20,20,20,20,20,20,20,350.44,20,20,20,20,20,20,28.85,20,23.245,20,20,22.61,26.945,20,34,20,20,20,20,32.74,20,20,20,20,20,20,1504.09,358.61,262.775,444.895,57.825,287.06,140.655,469.62,433.64,20,20,20,157.95,20,41.155,71.92,229.765,20,609.055,651.98,237.55,477.335,38.925,109.565,20.425,30.08,202.26,50.175,109.245,400.895,552,20,205.755,75.77,101.445,229.92,38.635,237.81,64.93,249.905,157.015,192.775,294.965,261.145,114.685,408.59,124.415,192.785,106.705,197.125,263.295,1
48.09333,66.55667,158.02,262.41667,81.71,80.94667,79.16333,72.94667,93.07333,73.46,92.68333,185.18667,105.92333,129.88667,128.65333,81.00667,126.11333,173.77,92.56333,85.41667,175.59,307.81667,305.16,494.53333,176.56667,64.56667,69.96333,52.02667,45.68333,116.40333,155.85667,61.39333,73.69,49.69667,58.67,51.45333,105.00667,214.11,203.01333,43.98667,104.33333,53.74333,90.21333,45.07,46.98667,91.66667,214.88667,56.53667,72.76667,51.92667,43.20333,105.00667,167.64333,278.08,169.33667,107.64,47.61333,139.33333,73.27333,97.73,165.88333,173.33,545.91333,302.92667,801.45333,124.16667,550.21333,303.81333,917.04,109.72333,75.00667,80.77,57.88333,87.83,1133.87667,1087.43,1687.04333,784.12333,794.28667,275.38667,64.01,73.4,60.27333,44.13,58.35333,43.83333,116.21,41.20333,115.86,53.23333,48.70667,76.70667,84.60333,52.8,79.13333,142.44333,34.52,77.26333,48.29,86.06,41.21,81.03333,49.87667,2
146.745,207.14,181.015,251.3,130.99,260.535,185.68,195.06,184.08,196.455,108.97,163.4,95.045,292.38,104.54,81.43,117.13,132.5,118.87,91.125,120.535,126.905,97.88,121.915,107.01,120.685,85.285,50.28,111.125,150.485,98.69,80.075,143.995,83.655,50.72,88.68,90.105,138.245,82.405,114.465,60.5,129.775,76.91,74.78,63.865,95.28,172.225,80.06,80.84,66.455,186.645,90.105,266.07,101.795,37.36,50.49,65.88,103.9,141.44,97.89,148.94,54.585,77.165,67.045,76.585,94.425,76.265,48.14,63.025,61.805,116.685,78.29,60.035,71.38,71.005,51.95,63.62,91.325,96.46,75.415,125.79,145.595,112.795,150.895,94.985,116.27,106.685,113.515,199.395,165.25,72.59,104.86,75.055,82.41,84.425,135.37,103.035,40.94,55.285,75.89,89.305,60.005,90.58,0
202.11,116,521.47,765.11,1165.46,623.88,237.2,827.78,436.02,1213.43,355.47,363.83,189.44,127.07,321.64,214.8,588.42,757.68,221.73,436.29,354.64,554.07,326.73,712,373.67,259.55,363.47,348.42,294.07,454.08,279.78,318.61,406.33,413.97,343.41,321.77,286.23,195.44,261.9,184.94,406,322.96,417.45,330.76,336.42,310.8,180.69,281.73,421.18,217.2,364.62,286.23,247.2,452.93,355.19,263.68,326.23,138.18,93.12,314.49,243.27,316.6,246.76,207.53,189.95,92.82,289.78,196.16,160.58,277.36,527.81,241.25,247.66,421.03,327.12,181.62,344.56,254.01,236.74,195.73,223.52,139.53,211.22,332.59,386.65,285.92,574.84,428,303.34,546.59,382.08,237.67,347.29,249.53,425,671.8,436.63,395.82,354.65,473.42,201.87,225.01,223,1
50.53,93.32,55.52,51.22,53.79,60.3,86.94,242.07,49.89,81.72,119.18,90.41,80.46,20,60.43,46.25,61.66,60.44,96.88,74,78.21,45.36,90.58,67.19,70.83,120.18,47.95,53.37,33,57.68,37.37,56.46,57.6,46.62,58.87,34.89,75.22,82.86,64.7,37.99,45,52.37,53.93,46.13,52.92,48.33,62.11,43.75,46.26,51.67,67.98,75.22,82.4,37.32,81.57,34.56,41.28,78.82,32.98,26.47,42.52,47.09,58.12,34.42,48.52,85.9,46.48,72.32,57.57,48.57,55.62,84.74,65.71,94.35,63.11,50.34,62.56,66.26,52.5,109.19,68.47,66.73,62.9,92.39,67.59,40.03,61.29,45.79,61.52,102.75,62.59,77.52,87.07,99.81,70.51,63.64,139.09,97.24,106.78,101.52,73.06,30.77,59.03,0
226.84,187.52,220.09,138.72,183.29,233.54,109.48,153.45,395.88,245.15,272.56,175.38,406.38,568.61,204.68,293.94,129.6,265.51,231.72,247.41,201.42,305.66,528.37,199.4,391.12,325.19,217.7,217.51,250.4,316.7,207.92,339.78,259.72,184.61,213.9,243.26,212.96,198.14,321.47,285.9,314,291.92,256.66,302.3,214.52,209.41,392.44,288.73,290.11,251.65,262.65,212.96,115.78,238.06,363.45,175.78,296.02,160.56,281.31,137.66,219.54,362.69,186.73,294.08,190.99,364.35,256.15,163.47,436.3,374.49,212.65,249.23,209.25,117.68,206.16,351.4,260.16,314.25,277.91,161.73,318.17,135.48,240.33,316.16,155.06,221.11,321.23,196.08,167.58,170.55,197.11,194.82,203.48,288.67,155.7,262.66,110.54,286.8,203.07,269.41,252.82,762.55,191.14,2
189.21,181.41,201.25,166.47,102.6,289.46,174.95,123.19,327.55,225,141.98,186.27,115.09,834.3,214.42,99.69,211.12,189.96,105.87,103.83,98.57,108.01,194.1,147.38,118.06,134.32,65.21,72.5,83.47,90.19,60.36,61.5,102.63,94.17,68.68,55.24,120.16,105.37,106.81,69.98,75,84.38,113.85,60.85,71.82,97.6,148.69,68.25,118.55,103.34,109.18,120.16,231.56,162.41,75.37,113.57,181.24,202.4,453.97,127.07,65.27,75.14,103.85,85.57,83.62,268.57,87.03,109.97,253.5,120.87,214.83,123.62,105.13,236.38,95.72,116.48,112.2,277.1,213.07,139.07,253.73,155.71,199.02,221.72,157.05,278.3,358.22,172.19,376.52,229.87,166.29,127.5,143.81,145.8,150.81,164.67,199.89,185.63,135.38,85.9,81.71,111.55,109.63,2
53.75,52.33,137.8,124.85,80.69,129.38,70.84,155.61,149.68,200.37,37.31,68.63,36.67,165.58,72.12,66.8,233.07,76.63,61.92,56.33,125.35,108.01,42.05,130.05,52.35,210.06,47.95,73.51,70.85,92.28,65.15,91.75,94.25,90.44,64.76,71.72,42.98,126.09,118.11,41.99,42,53.34,152.8,85.39,80.33,112.76,99.76,102.37,80,111.95,81.37,42.98,33.38,58.51,67.11,61.23,108.74,134.29,175.57,56.12,75.16,46.09,47.64,66.88,205.44,157,98.9,136.72,64.64,23.74,187.57,66.79,167.8,177.54,56.8,48.37,175.75,74.3,367.47,97.86,52.36,74.82,45.06,132.42,194.82,85.78,94.05,82.61,88.03,144.06,42.97,124.44,60.65,131.12,234.04,127.29,112.38,161.08,55.3,81.99,35.57,44.23,89.01,2
317.14,754.44,31.72,239.03,120.53,196.26,605.35,544.65,175.71,154.48,551.34,564.27,379.9,156.59,340.15,206.58,264.42,82.03,304.63,381.06,334.28,138.25,160.67,419.4,137.56,420.12,73.84,62.43,20,20,20,20,58.65,104.43,164.84,20,20,20,47.24,231.92,139,20,56.93,40.24,20,29.37,20,20,41.44,60.28,27.81,20,20,276.4,56.79,84.93,78.54,454.43,59.17,267.9,205.69,39.07,336.31,203.59,222.99,20,20,221.92,207.04,975.63,20,20,83.9,20,74.68,114.5,20,20,114.25,38.11,78.53,361.97,35.67,20,343.91,20,95.1,24.88,20,20,51.38,579.37,96.85,33.27,20,292.96,32.24,20,267.9,20,231.67,312.52,279.22,0
590.2,250.32,604.75,481.26,389.48,640.32,302.67,424.69,483.74,567.54,193.8,334.42,20,862.54,96.49,160.33,220.53,378.84,161.8,195.5,219.64,212.77,359.08,202.65,257.67,175.72,202.35,256.78,332.89,252.73,167.67,224.84,172.79,303.95,254.13,512.69,276.46,230.56,247.52,303.9,216,370.48,403.47,335.67,174.83,371.45,241.86,376.23,195.65,180.84,245.14,276.46,377.59,220.92,326.28,228.13,232.59,213.11,508.29,300.73,228.44,224.43,180.07,251.78,181.7,522.34,285.82,199.13,138.36,322.69,326.07,283.12,186,420.01,129.38,211.23,244.27,268.07,475.54,226.63,402.74,161.77,82.61,446.53,120.27,280.2,381.46,235.9,519.7,336.85,108.37,230.53,169.24,198.64,180.18,205.07,324.25,20,206.88,117.14,251.86,115.39,248.3,0
20,20,211.17,123.78,32.87,20,20,55.11,20,85.07,41.45,30.5,30.55,191.25,20,220.97,113.92,119.8,102.88,38.66,117.85,47.52,49.6,122.46,100.6,48.48,153.44,307.13,73.76,101.72,65.15,212.74,75.4,179.95,90.27,141.5,88.9,104.47,449.85,39.99,88,319.08,162.79,148.21,161.6,43.59,365.15,136.49,416.36,70.81,324.45,88.9,66.76,35.31,254,37.53,130.89,36,105.73,77.3,36.59,213.4,43.83,97.37,181.7,62.21,98.9,86.19,39.39,43.17,193.02,110.66,168.81,20,24.19,241.83,113.2,97.39,107.05,128.77,20,37.41,70.41,99.57,118.28,75.29,262.06,94.56,20,47.67,79.41,59.16,45.98,20,30.36,140.42,80.14,161.08,60.06,99.56,71.14,99.04,333.57,2
245.65,174.875,115.495,200.08,204.205,174.335,573.15,273.945,300.44,247.39,539.42,281.045,408.925,75.46,271.93,211.205,192.305,201.295,343.08,614.665,283.925,181.99,339.67,319.695,375.21,188.35,249.825,234.125,225.645,224.415,182.525,194.09,161.275,168.76,124.61,204.01,237.875,203.545,160.735,159.445,165,207.545,228.205,232.125,226.805,180.04,253.625,136.93,211.075,209.065,254.41,237.875,271.72,208.305,185.855,217.26,330.255,211.16,155.69,240.365,300.135,221.42,525.43,320.635,323.13,145.64,464.83,252.63,316.115,445.18,241.005,185.425,300.225,228.78,345,322.77,283.985,498.485,221.305,376.515,160.595,198.17,226.245,234.045,199.29,283.54,352.405,330.455,200.455,331.03,199.45,251.945,160.44,290.625,502.36,385.905,202.655,481.765,147.295,200.59,262.43,318.285,278.285,0
40.56667,77.31333,20,39.65667,27.25,59.75,41.37333,46.65,28.51667,34.60333,55.47667,40.20333,20.46333,206.29333,41.75333,26.69333,23.43667,48.23,47.95,48.67667,53.45,33.85333,37.05667,20,29.07333,94.19,46.94667,34.14333,36.75333,47.56333,43.07667,25.43333,38.43333,20,31.52333,37.03333,40.85667,35.18667,33.71333,20,40,27.55667,48.61333,45.72333,55.18,38.91667,26.43,20.04,23.37333,52.91333,48.21,40.85667,45.60667,53.68333,26.75667,46.82667,47.65667,30.52333,32.21,70.2,55.12333,60.1,20,20,21.93667,69.53,29.74333,28.13333,47.33667,61.34667,33.92667,20,20,20,20,20,22.22333,20,20,24.66333,20,20,37.02,28.73,47.75333,20,20,25.27667,22.88,20,21.11667,24.68667,20,32.90333,20,30.84333,53.55667,31.34,46.39,24.07,20,20,20,2
21.5,20,137.8,129.12,20,216,100.89,130.76,20,62.69,144.05,126.36,131.38,121.94,43.86,251.8,90.93,20,128.84,296.01,27.86,325.1,32.35,96.45,144.75,296.91,115.08,108.75,65.03,124.79,136.06,54.45,81.68,86.71,119.7,36.83,20,20,40.05,81.97,88,94.07,40.95,79.5,25.52,111.81,274.8,45.5,184.09,182.76,71.07,20,50.07,233.02,284.98,56.29,506.46,121.64,20,246.72,379.74,26.05,141,82.62,242.6,185.63,229.45,20,492.86,94.97,162.49,362.88,229.46,152.18,440.72,120.42,118.16,578.3,424.08,196.76,140.96,131.44,251.59,90.33,143.13,223.97,135.26,455.87,33.94,153.6,98.09,119.34,790.45,283.78,295.74,208.11,34.08,904.6,163.03,140.56,277.81,178.86,423.52,2
20,20,251.81,161.13,326.73,230.25,76.21,97.26,73.75,109.7,23.84,224.4,20,356.82,60.43,59.61,535.12,116.57,31.96,35.34,249.64,75.6,71.17,82.36,41.06,20,20,140.98,86.38,71.31,56.53,129.06,91.11,119.34,64.76,67.84,114.3,20,192.06,157.95,87,86.32,123.84,113.85,49.14,92.86,154.34,59.5,35.66,76.55,64.89,114.3,140.81,89.78,61.95,43.45,33.23,621.8,163.93,44.47,274.92,61.12,80.98,60,55.75,115.53,20,98.08,33.33,111.16,266.09,192.4,349.75,105.51,33.66,68.11,73.48,44.18,198.66,74.17,93.64,21.23,82.61,20,28.83,31.45,29.59,25.88,20,68.85,30.83,56.1,48.91,35.23,56.8,120.22,188.84,125.72,129.66,49.78,61.52,102.89,76.83,1
