BR_BR8T,BR_BR10T,BR_BR14T,BR_BR16T,BR_BR18T,BR_BR20T,BR_BR6T,BR_BR15T,BR_BR21T,BR_BR29T,BR_BR31T,BR_BR32T,BR_U1,BR_U16,BR_UX6,BR_UX8,BR_UX19,BR_B24T,BR_B46T,BR_B30T,BR_B34T,BR_B36T,BR_B37T,BR_B38T,BR_B39T,BR_B41T,PR_PR28T,PR_PR13BT,PR_PR8T,PR_PR21T,PR_PR27T,PR_PR9T,PR_PR7T,PR_PR19T,PR_PR5T,PR_PR24T,PR_U38,PR_U41,PR_PR4,PR_PR3,PR_PR1,PR_PR10,PR_PR22,PR_PR12,PR_PR31,PR_PR30,PR_PR26,PR_PR16,PR_PR23,PR_PR4,PR_PR11,PR_PR17,LU_A_LU_A31T,LU_A_LU_A34T,LU_A_LU_A39T,LU_A_LU_A8T,LU_A_LU_A20T,LU_A_LU_A5T,LU_A_LU_A6T,LU_A_LU_A17T,LU_A_LU_A18T,LU_S_LU_S20T,LU_S_LU_S24T,LU_S_LU_S25T,LU_S_LU_S12T,LU_S_LU_S13T,LU_S_LU_S14T,LU_S_LU_S44T,LU_S_LU_S7T,LUA_U17,LUA_UX4,LUA_LU40T,LUA_LU44T,LUA_LU33T,LUS_U2,LUS_U50,LUS_LU41T,LUS_LU30T,LUS_LU26T,LUS_LU36T,CO_CO7T,CO_CO9T,CO_CO42T,CO_CO15T,CO_CO40T,CO_CO27T,CO_CO30T,CO_CO32T,CO_CO88T,CO_CO24T,CO_CO8T,CO_U6,CO_U12,CO_CO14T,CO_CO21T,CO_CO23T,CO_CO5T,CO_CO43T,CO_CO70T,CO_CO49T,CO_CO51T,CO_CO56T,CO_CO61T
194.5,197.5,250.5,68,36,54,195.5,159,55,240,244.5,68,47.5,78,132.5,644,81.5,152,154,26.5,20,500.5,171.5,371.5,338,152.5,256.5,22,41,70.5,116.5,83,194.5,197.5,250.5,68,36,54,195.5,159,55,240,244.5,68,47.5,78,132.5,644,81.5,152,154,26.5,20,500.5,171.5,371.5,338,152.5,256.5,22,41,70.5,116.5,83,194.5,197.5,250.5,68,36,54,195.5,159,55,240,244.5,68,47.5,78,132.5,644,81.5,152,154,26.5,20,500.5,171.5,371.5,338,152.5,256.5,22,41,70.5,116.5,83,194.5,197.5,250.5,68,36,54,195.5
20,80,54,20,20,20,37,20,20,20,20,24,20,20,20,210,20,20,20,20,20,20,20,20,42,64,35,20,20,20,20,20,20,80,54,20,20,20,37,20,20,20,20,24,20,20,20,210,20,20,20,20,20,20,20,20,42,64,35,20,20,20,20,20,20,80,54,20,20,20,37,20,20,20,20,24,20,20,20,210,20,20,20,20,20,20,20,20,42,64,35,20,20,20,20,20,20,80,54,20,20,20,37
868,1335,1347,442.6,112,818,922,1398,469,637,1311,1082,707,299,679,1194,666,735.8,1613,276,164.2,1550,469,539,1334,638,607,421,299.5,442,1061,941,868,1335,1347,442.6,112,818,922,1398,469,637,1311,1082,707,299,679,1194,666,735.8,1613,276,164.2,1550,469,539,1334,638,607,421,299.5,442,1061,941,868,1335,1347,442.6,112,818,922,1398,469,637,1311,1082,707,299,679,1194,666,735.8,1613,276,164.2,1550,469,539,1334,638,607,421,299.5,442,1061,941,868,1335,1347,442.6,112,818,922
196,289,278,143.3,24,108,373.6,235,39,20,112,231,156,46,78,192,162,20,149,100,59.4,138,31,54,176,82,57,51,72.6,43,136,135.7,196,289,278,143.3,24,108,373.6,235,39,20,112,231,156,46,78,192,162,20,149,100,59.4,138,31,54,176,82,57,51,72.6,43,136,135.7,196,289,278,143.3,24,108,373.6,235,39,20,112,231,156,46,78,192,162,20,149,100,59.4,138,31,54,176,82,57,51,72.6,43,136,135.7,196,289,278,143.3,24,108,373.6
43,57,67,36,23,22,45,65,20,26,21,20,20,20,92,490,100,58,118,21,47,43,31,58,89,20,75,20,40,36,51,43,43,57,67,36,23,22,45,65,20,26,21,20,20,20,92,490,100,58,118,21,47,43,31,58,89,20,75,20,40,36,51,43,43,57,67,36,23,22,45,65,20,26,21,20,20,20,92,490,100,58,118,21,47,43,31,58,89,20,75,20,40,36,51,43,43,57,67,36,23,22,45
39,43,37,63.2,20,79,20,307,20,62,73,157,23,20,174,149,40,21.6,20,20,20,227,25,74,39,20,20,20,20,20,294,20.6,39,43,37,63.2,20,79,20,307,20,62,73,157,23,20,174,149,40,21.6,20,20,20,227,25,74,39,20,20,20,20,20,294,20.6,39,43,37,63.2,20,79,20,307,20,62,73,157,23,20,174,149,40,21.6,20,20,20,227,25,74,39,20,20,20,20,20,294,20.6,39,43,37,63.2,20,79,20
262,585,1080,351.7,63,622,817.8,1446,491,581,831,1417,586,290,1299,1227,850,526.8,1258,427,526.2,1306,357,421,692,726,638,527,422.3,104,1019,533.5,262,585,1080,351.7,63,622,817.8,1446,491,581,831,1417,586,290,1299,1227,850,526.8,1258,427,526.2,1306,357,421,692,726,638,527,422.3,104,1019,533.5,262,585,1080,351.7,63,622,817.8,1446,491,581,831,1417,586,290,1299,1227,850,526.8,1258,427,526.2,1306,357,421,692,726,638,527,422.3,104,1019,533.5,262,585,1080,351.7,63,622,817.8
288,704.66667,654.33333,237.73333,62.33333,1240.33333,1596.73333,1425.33333,670.33333,1079.33333,1063.33333,1419,394.66667,111.66667,1512,600.33333,514.33333,247.76667,905.66667,194.33333,115.23333,1082.66667,120.66667,309,996.66667,290,330,155,191.43333,118.66667,805.33333,474.26667,288,704.66667,654.33333,237.73333,62.33333,1240.33333,1596.73333,1425.33333,670.33333,1079.33333,1063.33333,1419,394.66667,111.66667,1512,600.33333,514.33333,247.76667,905.66667,194.33333,115.23333,1082.66667,120.66667,309,996.66667,290,330,155,191.43333,118.66667,805.33333,474.26667,288,704.66667,654.33333,237.73333,62.33333,1240.33333,1596.73333,1425.33333,670.33333,1079.33333,1063.33333,1419,394.66667,111.66667,1512,600.33333,514.33333,247.76667,905.66667,194.33333,115.23333,1082.66667,120.66667,309,996.66667,290,330,155,191.43333,118.66667,805.33333,474.26667,288,704.66667,654.33333,237.73333,62.33333,1240.33333,1596.73333
475,489,880,225.1,20,145,447.2,341,171,407,573,291,20,52,336,847,41,101.8,1060,32,20,411,20,218,779,123,171,20,20,20,157,322.9,475,489,880,225.1,20,145,447.2,341,171,407,573,291,20,52,336,847,41,101.8,1060,32,20,411,20,218,779,123,171,20,20,20,157,322.9,475,489,880,225.1,20,145,447.2,341,171,407,573,291,20,52,336,847,41,101.8,1060,32,20,411,20,218,779,123,171,20,20,20,157,322.9,475,489,880,225.1,20,145,447.2
334.25,505.75,507.25,158.125,31.75,196,442.125,414.25,170.25,240.5,447,288.25,198,58.5,276,337.75,332.5,113.75,642.25,95,76.3,392.25,75.75,97.5,297,121.5,136.25,58,165.175,59.5,105,215.7,334.25,505.75,507.25,158.125,31.75,196,442.125,414.25,170.25,240.5,447,288.25,198,58.5,276,337.75,332.5,113.75,642.25,95,76.3,392.25,75.75,97.5,297,121.5,136.25,58,165.175,59.5,105,215.7,334.25,505.75,507.25,158.125,31.75,196,442.125,414.25,170.25,240.5,447,288.25,198,58.5,276,337.75,332.5,113.75,642.25,95,76.3,392.25,75.75,97.5,297,121.5,136.25,58,165.175,59.5,105,215.7,334.25,505.75,507.25,158.125,31.75,196,442.125
363,325,235,57,36,188,221,123,136,256,364,169,209,146,92,380,20,99,193,20,20,389,47,211,314,112,106,50,60,20,56,124,363,325,235,57,36,188,221,123,136,256,364,169,209,146,92,380,20,99,193,20,20,389,47,211,314,112,106,50,60,20,56,124,363,325,235,57,36,188,221,123,136,256,364,169,209,146,92,380,20,99,193,20,20,389,47,211,314,112,106,50,60,20,56,124,363,325,235,57,36,188,221
843,1866,2295,952,245,413,721,1765,870,750,710,20,20,439,2047,2233,1302,2147,1585,20,20,2280,1017,1413,1729,1405,1284,386,817,835,1265,772,843,1866,2295,952,245,413,721,1765,870,750,710,20,20,439,2047,2233,1302,2147,1585,20,20,2280,1017,1413,1729,1405,1284,386,817,835,1265,772,843,1866,2295,952,245,413,721,1765,870,750,710,20,20,439,2047,2233,1302,2147,1585,20,20,2280,1017,1413,1729,1405,1284,386,817,835,1265,772,843,1866,2295,952,245,413,721
933,1629,1020,393,20,191,216.9,768,92,261,403,444,169,146,844,1566,1324,577.3,1652,114,101.9,643,181,136,601,366,364,44,163.9,193,1014,292,933,1629,1020,393,20,191,216.9,768,92,261,403,444,169,146,844,1566,1324,577.3,1652,114,101.9,643,181,136,601,366,364,44,163.9,193,1014,292,933,1629,1020,393,20,191,216.9,768,92,261,403,444,169,146,844,1566,1324,577.3,1652,114,101.9,643,181,136,601,366,364,44,163.9,193,1014,292,933,1629,1020,393,20,191,216.9
615,930,942,640.5,74,752,1208.6,1060,106,203,579,1995,53,68,1530,1099,751,116.8,448,52,170.3,1570,279,405,692,620,663,558,749.4,683,821,424.8,615,930,942,640.5,74,752,1208.6,1060,106,203,579,1995,53,68,1530,1099,751,116.8,448,52,170.3,1570,279,405,692,620,663,558,749.4,683,821,424.8,615,930,942,640.5,74,752,1208.6,1060,106,203,579,1995,53,68,1530,1099,751,116.8,448,52,170.3,1570,279,405,692,620,663,558,749.4,683,821,424.8,615,930,942,640.5,74,752,1208.6
20,20,20,20,20,20,160,20,31,131,764,20,20,20,31,20,20,20,20,20,20,1488,185,1306,840,150,427,20,55,167,199,390,20,20,20,20,20,20,160,20,31,131,764,20,20,20,31,20,20,20,20,20,20,1488,185,1306,840,150,427,20,55,167,199,390,20,20,20,20,20,20,160,20,31,131,764,20,20,20,31,20,20,20,20,20,20,1488,185,1306,840,150,427,20,55,167,199,390,20,20,20,20,20,20,160
62,228,212,132,37,101,155,146,142,198,207,214,56,136,243,570,68,123,260,20,20,371,65,246,335,209,176,22,131,56,351,196,62,228,212,132,37,101,155,146,142,198,207,214,56,136,243,570,68,123,260,20,20,371,65,246,335,209,176,22,131,56,351,196,62,228,212,132,37,101,155,146,142,198,207,214,56,136,243,570,68,123,260,20,20,371,65,246,335,209,176,22,131,56,351,196,62,228,212,132,37,101,155
20,291,280,141,20,278,769,406,20,352,409,20,60,236,20,20,20,20,93,20,20,262,44,232,284,132,283,26,20,20,20,179,20,291,280,141,20,278,769,406,20,352,409,20,60,236,20,20,20,20,93,20,20,262,44,232,284,132,283,26,20,20,20,179,20,291,280,141,20,278,769,406,20,352,409,20,60,236,20,20,20,20,93,20,20,262,44,232,284,132,283,26,20,20,20,179,20,291,280,141,20,278,769
178,441,293,72,20,137,189,151,48,216,133,101,20,58,20,521,20,20,92,20,20,853,20,995,482,173,765,20,20,20,223,274,178,441,293,72,20,137,189,151,48,216,133,101,20,58,20,521,20,20,92,20,20,853,20,995,482,173,765,20,20,20,223,274,178,441,293,72,20,137,189,151,48,216,133,101,20,58,20,521,20,20,92,20,20,853,20,995,482,173,765,20,20,20,223,274,178,441,293,72,20,137,189
50,46,60,83,20,73,192,58,56,238,264,29,33,55,136,145,76,94,56,50,20,22,20,46,51,56,20,53,27,27,54,20,50,46,60,83,20,73,192,58,56,238,264,29,33,55,136,145,76,94,56,50,20,22,20,46,51,56,20,53,27,27,54,20,50,46,60,83,20,73,192,58,56,238,264,29,33,55,136,145,76,94,56,50,20,22,20,46,51,56,20,53,27,27,54,20,50,46,60,83,20,73,192
241,447,482,138,36,159,516,358,132,408,394,20,74,77,322,635,186,207,212,20,28,729,86,158,423,347,568,44,68,112,308,138,241,447,482,138,36,159,516,358,132,408,394,20,74,77,322,635,186,207,212,20,28,729,86,158,423,347,568,44,68,112,308,138,241,447,482,138,36,159,516,358,132,408,394,20,74,77,322,635,186,207,212,20,28,729,86,158,423,347,568,44,68,112,308,138,241,447,482,138,36,159,516
42,154,53.5,60,24,151,73.5,81,111.5,32,20,119,20,75,180,363,204.5,168.75,350,343,109.15,927.5,215,753.5,801,295.5,644,40.5,151,184.5,640,503.7,42,154,53.5,60,24,151,73.5,81,111.5,32,20,119,20,75,180,363,204.5,168.75,350,343,109.15,927.5,215,753.5,801,295.5,644,40.5,151,184.5,640,503.7,42,154,53.5,60,24,151,73.5,81,111.5,32,20,119,20,75,180,363,204.5,168.75,350,343,109.15,927.5,215,753.5,801,295.5,644,40.5,151,184.5,640,503.7,42,154,53.5,60,24,151,73.5
20,27,20,20,20,26,125.1,96,20,20,20,20,20,20,86,35,45,20,20,20,20,127,22,20,20,20,20,20,41.4,39,92,20,20,27,20,20,20,26,125.1,96,20,20,20,20,20,20,86,35,45,20,20,20,20,127,22,20,20,20,20,20,41.4,39,92,20,20,27,20,20,20,26,125.1,96,20,20,20,20,20,20,86,35,45,20,20,20,20,127,22,20,20,20,20,20,41.4,39,92,20,20,27,20,20,20,26,125.1
803.5,1737,925.5,787.5,189,676,795.2,847.5,639.5,1020.5,1171,515,345.5,618.5,477.5,1468,165.5,230.5,669.5,160.5,176.7,1604.5,177,905,1268.5,588.5,1053,127,270.45,384,591,675,803.5,1737,925.5,787.5,189,676,795.2,847.5,639.5,1020.5,1171,515,345.5,618.5,477.5,1468,165.5,230.5,669.5,160.5,176.7,1604.5,177,905,1268.5,588.5,1053,127,270.45,384,591,675,803.5,1737,925.5,787.5,189,676,795.2,847.5,639.5,1020.5,1171,515,345.5,618.5,477.5,1468,165.5,230.5,669.5,160.5,176.7,1604.5,177,905,1268.5,588.5,1053,127,270.45,384,591,675,803.5,1737,925.5,787.5,189,676,795.2
238,408,301,70,22,107,317,286,144,329,361,54,45,128,145,421,125,70,244,20,20,822,51,383,576,177,344,62,53,53,193,205,238,408,301,70,22,107,317,286,144,329,361,54,45,128,145,421,125,70,244,20,20,822,51,383,576,177,344,62,53,53,193,205,238,408,301,70,22,107,317,286,144,329,361,54,45,128,145,421,125,70,244,20,20,822,51,383,576,177,344,62,53,53,193,205,238,408,301,70,22,107,317
20,20,20,20,20,20,20,20,20,20,20,237,20,20,20,20,20,20,20,20,31.9,20,20,20,20,20,48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,237,20,20,20,20,20,20,20,20,31.9,20,20,20,20,20,48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,237,20,20,20,20,20,20,20,20,31.9,20,20,20,20,20,48,20,20,20,20,20,20,20,20,20,20,20,20
40.33333,20,25,20,20,22.33333,20,62,39.33333,34.33333,55,84,107.33333,36,106,68.66667,20,20,81,70.66667,47.26667,53,31,74,58.66667,28.66667,20,20,20,24.66667,79,25.7,40.33333,20,25,20,20,22.33333,20,62,39.33333,34.33333,55,84,107.33333,36,106,68.66667,20,20,81,70.66667,47.26667,53,31,74,58.66667,28.66667,20,20,20,24.66667,79,25.7,40.33333,20,25,20,20,22.33333,20,62,39.33333,34.33333,55,84,107.33333,36,106,68.66667,20,20,81,70.66667,47.26667,53,31,74,58.66667,28.66667,20,20,20,24.66667,79,25.7,40.33333,20,25,20,20,22.33333,20
144.5,85,83.5,29.5,43,73,114.5,85,47,145,110,132,33,86,223,306.5,82.5,20,103,57,60,107.5,42,156.5,107.5,20,38.5,75.5,46.5,25.5,134,62,144.5,85,83.5,29.5,43,73,114.5,85,47,145,110,132,33,86,223,306.5,82.5,20,103,57,60,107.5,42,156.5,107.5,20,38.5,75.5,46.5,25.5,134,62,144.5,85,83.5,29.5,43,73,114.5,85,47,145,110,132,33,86,223,306.5,82.5,20,103,57,60,107.5,42,156.5,107.5,20,38.5,75.5,46.5,25.5,134,62,144.5,85,83.5,29.5,43,73,114.5
