%
@relation cancer
@attribute BR_BR8T real
@attribute BR_BR10T real
@attribute BR_BR14T real
@attribute BR_BR16T real
@attribute BR_BR17T real
@attribute BR_BR20T real
@attribute BR_BR6T real
@attribute BR_BR15T real
@attribute BR_BR21T real
@attribute BR_BR29T real
@attribute BR_BR31T real
@attribute BR_BR32T real
@attribute BR_U1 real
@attribute BR_U16 real
@attribute BR_UX7 real
@attribute BR_UX8 real
@attribute BR_UX19 real
@attribute BR_B24T real
@attribute BR_B46T real
@attribute BR_B30T real
@attribute BR_B34T real
@attribute BR_B36T real
@attribute BR_B37T real
@attribute BR_B38T real
@attribute BR_B39T real
@attribute BR_B41T real
@attribute PR_PR29T real
@attribute PR_PR13BT real
@attribute PR_PR8T real
@attribute PR_PR21T real
@attribute PR_PR27T real
@attribute PR_PR9T real
@attribute PR_PR7T real
@attribute PR_PR19T real
@attribute PR_PR5T real
@attribute PR_PR24T real
@attribute PR_U40 real
@attribute PR_U41 real
@attribute PR_PR4 real
@attribute PR_PR3 real
@attribute PR_PR1 real
@attribute PR_PR10 real
@attribute PR_PR22 real
@attribute PR_PR12 real
@attribute PR_PR31 real
@attribute PR_PR30 real
@attribute PR_PR26 real
@attribute PR_PR16 real
@attribute PR_PR23 real
@attribute PR_PR6 real
@attribute PR_PR11 real
@attribute PR_PR17 real
@attribute LU_A_LU_A31T real
@attribute LU_A_LU_A34T real
@attribute LU_A_LU_A39T real
@attribute LU_A_LU_A8T real
@attribute LU_A_LU_A20T real
@attribute LU_A_LU_A5T real
@attribute LU_A_LU_A6T real
@attribute LU_A_LU_A17T real
@attribute LU_A_LU_A18T real
@attribute LU_S_LU_S19T real
@attribute LU_S_LU_S24T real
@attribute LU_S_LU_S25T real
@attribute LU_S_LU_S12T real
@attribute LU_S_LU_S13T real
@attribute LU_S_LU_S14T real
@attribute LU_S_LU_S11T real
@attribute LU_S_LU_S7T real
@attribute LUA_U17 real
@attribute LUA_UX4 real
@attribute LUA_LU40T real
@attribute LUA_LU44T real
@attribute LUA_LU33T real
@attribute LUS_U2 real
@attribute LUS_U19 real
@attribute LUS_LU41T real
@attribute LUS_LU30T real
@attribute LUS_LU26T real
@attribute LUS_LU36T real
@attribute CO_CO7T real
@attribute CO_CO9T real
@attribute CO_CO42T real
@attribute CO_CO15T real
@attribute CO_CO40T real
@attribute CO_CO27T real
@attribute CO_CO30T real
@attribute CO_CO32T real
@attribute CO_CO20T real
@attribute CO_CO24T real
@attribute CO_CO8T real
@attribute CO_U6 real
@attribute CO_U12 real
@attribute CO_CO14T real
@attribute CO_CO21T real
@attribute CO_CO23T real
@attribute CO_CO5T real
@attribute CO_CO43T real
@attribute CO_CO44T real
@attribute CO_CO49T real
@attribute CO_CO51T real
@attribute CO_CO56T real
@attribute CO_CO61T real
@attribute class_label real
@data
20,20,45.6,20,20,47.15,20,20,20,32.46,20,20,20,20,20,20,20,20,20,71.79,20,20,20,20,20,20,78.64,56.39,60.17,109.06,62.28,103.85,96.35,98.83,44.15,140.53,20,20,47.24,41.99,69,71.77,21.97,38.28,84.11,20,70.58,70.87,20,84.2,32.96,20,20,20,20,20,20,20,20,20,79.11,21.04,20,20,20,25.67,20.77,20,20,20,20,20,22.24,20,20,20,20,20,25.73,20,20,20,20,20,20,20,20,20,20,20,20,20.4,76.31,20,20,20,20,20,20,20,20,20,20,2
20,20,20,20,35.4,20,20,20,20,20,20,20,20,20,75.535,151.08,40.31,20,20,20,20,20,20,20,20,350.44,20,20,20,20,20,20,28.85,20,23.245,20,20,22.61,26.945,20,34,20,20,20,20,32.74,20,20,20,20,20,20,1504.09,358.61,262.775,444.895,57.825,287.06,140.655,469.62,433.64,20,20,20,157.95,20,41.155,71.92,229.765,20,609.055,651.98,237.55,477.335,38.925,109.565,20.425,30.08,202.26,50.175,109.245,400.895,552,20,205.755,75.77,101.445,229.92,38.635,237.81,64.93,249.905,157.015,192.775,294.965,261.145,114.685,408.59,124.415,192.785,106.705,197.125,263.295,1
48.09333,66.55667,158.02,262.41667,81.71,80.94667,79.16333,72.94667,93.07333,73.46,92.68333,185.18667,105.92333,129.88667,128.65333,81.00667,126.11333,173.77,92.56333,85.41667,175.59,307.81667,305.16,494.53333,176.56667,64.56667,69.96333,52.02667,45.68333,116.40333,155.85667,61.39333,73.69,49.69667,58.67,51.45333,105.00667,214.11,203.01333,43.98667,104.33333,53.74333,90.21333,45.07,46.98667,91.66667,214.88667,56.53667,72.76667,51.92667,43.20333,105.00667,167.64333,278.08,169.33667,107.64,47.61333,139.33333,73.27333,97.73,165.88333,173.33,545.91333,302.92667,801.45333,124.16667,550.21333,303.81333,917.04,109.72333,75.00667,80.77,57.88333,87.83,1133.87667,1087.43,1687.04333,784.12333,794.28667,275.38667,64.01,73.4,60.27333,44.13,58.35333,43.83333,116.21,41.20333,115.86,53.23333,48.70667,76.70667,84.60333,52.8,79.13333,142.44333,34.52,77.26333,48.29,86.06,41.21,81.03333,49.87667,2
146.745,207.14,181.015,251.3,130.99,260.535,185.68,195.06,184.08,196.455,108.97,163.4,95.045,292.38,104.54,81.43,117.13,132.5,118.87,91.125,120.535,126.905,97.88,121.915,107.01,120.685,85.285,50.28,111.125,150.485,98.69,80.075,143.995,83.655,50.72,88.68,90.105,138.245,82.405,114.465,60.5,129.775,76.91,74.78,63.865,95.28,172.225,80.06,80.84,66.455,186.645,90.105,266.07,101.795,37.36,50.49,65.88,103.9,141.44,97.89,148.94,54.585,77.165,67.045,76.585,94.425,76.265,48.14,63.025,61.805,116.685,78.29,60.035,71.38,71.005,51.95,63.62,91.325,96.46,75.415,125.79,145.595,112.795,150.895,94.985,116.27,106.685,113.515,199.395,165.25,72.59,104.86,75.055,82.41,84.425,135.37,103.035,40.94,55.285,75.89,89.305,60.005,90.58,0
202.11,116,521.47,765.11,1165.46,623.88,237.2,827.78,436.02,1213.43,355.47,363.83,189.44,127.07,321.64,214.8,588.42,757.68,221.73,436.29,354.64,554.07,326.73,712,373.67,259.55,363.47,348.42,294.07,454.08,279.78,318.61,406.33,413.97,343.41,321.77,286.23,195.44,261.9,184.94,406,322.96,417.45,330.76,336.42,310.8,180.69,281.73,421.18,217.2,364.62,286.23,247.2,452.93,355.19,263.68,326.23,138.18,93.12,314.49,243.27,316.6,246.76,207.53,189.95,92.82,289.78,196.16,160.58,277.36,527.81,241.25,247.66,421.03,327.12,181.62,344.56,254.01,236.74,195.73,223.52,139.53,211.22,332.59,386.65,285.92,574.84,428,303.34,546.59,382.08,237.67,347.29,249.53,425,671.8,436.63,395.82,354.65,473.42,201.87,225.01,223,1
50.53,93.32,55.52,51.22,53.79,60.3,86.94,242.07,49.89,81.72,119.18,90.41,80.46,20,60.43,46.25,61.66,60.44,96.88,74,78.21,45.36,90.58,67.19,70.83,120.18,47.95,53.37,33,57.68,37.37,56.46,57.6,46.62,58.87,34.89,75.22,82.86,64.7,37.99,45,52.37,53.93,46.13,52.92,48.33,62.11,43.75,46.26,51.67,67.98,75.22,82.4,37.32,81.57,34.56,41.28,78.82,32.98,26.47,42.52,47.09,58.12,34.42,48.52,85.9,46.48,72.32,57.57,48.57,55.62,84.74,65.71,94.35,63.11,50.34,62.56,66.26,52.5,109.19,68.47,66.73,62.9,92.39,67.59,40.03,61.29,45.79,61.52,102.75,62.59,77.52,87.07,99.81,70.51,63.64,139.09,97.24,106.78,101.52,73.06,30.77,59.03,0
226.84,187.52,220.09,138.72,183.29,233.54,109.48,153.45,395.88,245.15,272.56,175.38,406.38,568.61,204.68,293.94,129.6,265.51,231.72,247.41,201.42,305.66,528.37,199.4,391.12,325.19,217.7,217.51,250.4,316.7,207.92,339.78,259.72,184.61,213.9,243.26,212.96,198.14,321.47,285.9,314,291.92,256.66,302.3,214.52,209.41,392.44,288.73,290.11,251.65,262.65,212.96,115.78,238.06,363.45,175.78,296.02,160.56,281.31,137.66,219.54,362.69,186.73,294.08,190.99,364.35,256.15,163.47,436.3,374.49,212.65,249.23,209.25,117.68,206.16,351.4,260.16,314.25,277.91,161.73,318.17,135.48,240.33,316.16,155.06,221.11,321.23,196.08,167.58,170.55,197.11,194.82,203.48,288.67,155.7,262.66,110.54,286.8,203.07,269.41,252.82,762.55,191.14,2
189.21,181.41,201.25,166.47,102.6,289.46,174.95,123.19,327.55,225,141.98,186.27,115.09,834.3,214.42,99.69,211.12,189.96,105.87,103.83,98.57,108.01,194.1,147.38,118.06,134.32,65.21,72.5,83.47,90.19,60.36,61.5,102.63,94.17,68.68,55.24,120.16,105.37,106.81,69.98,75,84.38,113.85,60.85,71.82,97.6,148.69,68.25,118.55,103.34,109.18,120.16,231.56,162.41,75.37,113.57,181.24,202.4,453.97,127.07,65.27,75.14,103.85,85.57,83.62,268.57,87.03,109.97,253.5,120.87,214.83,123.62,105.13,236.38,95.72,116.48,112.2,277.1,213.07,139.07,253.73,155.71,199.02,221.72,157.05,278.3,358.22,172.19,376.52,229.87,166.29,127.5,143.81,145.8,150.81,164.67,199.89,185.63,135.38,85.9,81.71,111.55,109.63,2
317.14,754.44,31.72,239.03,120.53,196.26,605.35,544.65,175.71,154.48,551.34,564.27,379.9,156.59,340.15,206.58,264.42,82.03,304.63,381.06,334.28,138.25,160.67,419.4,137.56,420.12,73.84,62.43,20,20,20,20,58.65,104.43,164.84,20,20,20,47.24,231.92,139,20,56.93,40.24,20,29.37,20,20,41.44,60.28,27.81,20,20,276.4,56.79,84.93,78.54,454.43,59.17,267.9,205.69,39.07,336.31,203.59,222.99,20,20,221.92,207.04,975.63,20,20,83.9,20,74.68,114.5,20,20,114.25,38.11,78.53,361.97,35.67,20,343.91,20,95.1,24.88,20,20,51.38,579.37,96.85,33.27,20,292.96,32.24,20,267.9,20,231.67,312.52,279.22,0
20,20,211.17,123.78,32.87,20,20,55.11,20,85.07,41.45,30.5,30.55,191.25,20,220.97,113.92,119.8,102.88,38.66,117.85,47.52,49.6,122.46,100.6,48.48,153.44,307.13,73.76,101.72,65.15,212.74,75.4,179.95,90.27,141.5,88.9,104.47,449.85,39.99,88,319.08,162.79,148.21,161.6,43.59,365.15,136.49,416.36,70.81,324.45,88.9,66.76,35.31,254,37.53,130.89,36,105.73,77.3,36.59,213.4,43.83,97.37,181.7,62.21,98.9,86.19,39.39,43.17,193.02,110.66,168.81,20,24.19,241.83,113.2,97.39,107.05,128.77,20,37.41,70.41,99.57,118.28,75.29,262.06,94.56,20,47.67,79.41,59.16,45.98,20,30.36,140.42,80.14,161.08,60.06,99.56,71.14,99.04,333.57,2
245.65,174.875,115.495,200.08,204.205,174.335,573.15,273.945,300.44,247.39,539.42,281.045,408.925,75.46,271.93,211.205,192.305,201.295,343.08,614.665,283.925,181.99,339.67,319.695,375.21,188.35,249.825,234.125,225.645,224.415,182.525,194.09,161.275,168.76,124.61,204.01,237.875,203.545,160.735,159.445,165,207.545,228.205,232.125,226.805,180.04,253.625,136.93,211.075,209.065,254.41,237.875,271.72,208.305,185.855,217.26,330.255,211.16,155.69,240.365,300.135,221.42,525.43,320.635,323.13,145.64,464.83,252.63,316.115,445.18,241.005,185.425,300.225,228.78,345,322.77,283.985,498.485,221.305,376.515,160.595,198.17,226.245,234.045,199.29,283.54,352.405,330.455,200.455,331.03,199.45,251.945,160.44,290.625,502.36,385.905,202.655,481.765,147.295,200.59,262.43,318.285,278.285,0
40.56667,77.31333,20,39.65667,27.25,59.75,41.37333,46.65,28.51667,34.60333,55.47667,40.20333,20.46333,206.29333,41.75333,26.69333,23.43667,48.23,47.95,48.67667,53.45,33.85333,37.05667,20,29.07333,94.19,46.94667,34.14333,36.75333,47.56333,43.07667,25.43333,38.43333,20,31.52333,37.03333,40.85667,35.18667,33.71333,20,40,27.55667,48.61333,45.72333,55.18,38.91667,26.43,20.04,23.37333,52.91333,48.21,40.85667,45.60667,53.68333,26.75667,46.82667,47.65667,30.52333,32.21,70.2,55.12333,60.1,20,20,21.93667,69.53,29.74333,28.13333,47.33667,61.34667,33.92667,20,20,20,20,20,22.22333,20,20,24.66333,20,20,37.02,28.73,47.75333,20,20,25.27667,22.88,20,21.11667,24.68667,20,32.90333,20,30.84333,53.55667,31.34,46.39,24.07,20,20,20,2
340.79,347.345,411.425,491.1325,266.4625,504.6375,460.7175,351.21,504.89,427.89,362.2025,420.2025,366.145,754.5875,646.685,833.255,594.1675,304.905,367.8,702.7575,396.4225,335.36,449.6575,340.2875,400.3625,347.9125,619.53,540.5025,711.395,595.91,682.1925,664.185,749.8225,438.9125,617.8975,590.4725,583.205,684.0325,643.445,771.49,453.75,781.6875,633.92,643.37,664.5825,469.995,516.665,644.1825,579.73,688.9275,664.6075,583.205,567.4225,365.1675,290.66,365.6425,368.2675,370.015,589.2875,469.62,329.3625,422.0525,236.7525,405.7075,473.595,597.3825,340.96,426.9925,319.145,376.1125,585.0675,675.1575,605.245,508.02,396.5425,492.0575,346.7925,415.9075,478.115,479.53,488.0725,454.4775,508.8175,497.34,387.1525,538.25,634.8025,387.4375,712.47,482.475,434.4,511.8,570.335,665.9,650.9675,624.82,408.3025,458.685,374.6725,663.035,559.2275,541.62,450.6875,1
21.5,20,137.8,129.12,20,216,100.89,130.76,20,62.69,144.05,126.36,131.38,121.94,43.86,251.8,90.93,20,128.84,296.01,27.86,325.1,32.35,96.45,144.75,296.91,115.08,108.75,65.03,124.79,136.06,54.45,81.68,86.71,119.7,36.83,20,20,40.05,81.97,88,94.07,40.95,79.5,25.52,111.81,274.8,45.5,184.09,182.76,71.07,20,50.07,233.02,284.98,56.29,506.46,121.64,20,246.72,379.74,26.05,141,82.62,242.6,185.63,229.45,20,492.86,94.97,162.49,362.88,229.46,152.18,440.72,120.42,118.16,578.3,424.08,196.76,140.96,131.44,251.59,90.33,143.13,223.97,135.26,455.87,33.94,153.6,98.09,119.34,790.45,283.78,295.74,208.11,34.08,904.6,163.03,140.56,277.81,178.86,423.52,2
540.75,429.11,578.97,569.83,266.96,679.8,382.1,383.63,477.23,547.39,390.7,531.59,282.12,817.61,307.02,140.8,256.06,537.5,393.52,341.3,384.63,295.94,443.19,426.98,336.71,410.02,76.72,134.94,175.67,181.42,93.9,170.39,138.24,131.46,100.08,116.3,165.1,173.82,152,122.96,62,192.03,169.78,139.37,104.9,168.67,193.87,125.12,169.63,155.97,129.78,165.1,253.46,246.13,142.49,180.72,172.18,198.51,317.2,216.01,159.21,123.23,126.71,150.48,171.37,323.87,193.84,144.64,172.7,167.28,303.17,187.42,215.31,149.14,266.11,282.3,208.52,167.67,297.47,192.64,463.15,293.21,309.8,526.6,261.41,349.78,530.46,342.4,450.76,371.81,245.69,252.97,234.79,178.09,224.25,327.31,277.27,182.69,132.52,183.51,187.45,161.55,202.39,2
172.01,73.26,233.97,313.73,190.26,226.96,114.84,586.79,207.16,256.34,84.98,284.31,73.33,20,177.39,120.25,249.79,180.25,189.77,182.25,292.49,112.33,93.81,199.4,70.83,324.18,158.24,164.14,186.34,229.66,183,171.4,222.01,179.95,160.91,269.43,303.81,158.51,192.06,271.91,167,170.69,190.75,169.8,214.52,176.25,257.86,227.49,198.54,136.83,172.01,303.81,329.61,132.15,108.42,151.1,136.94,121.64,182.36,308.14,343.15,69.13,141.96,117.04,103.24,114.54,131.54,52.51,94.94,20,263.91,88.72,136.46,194.79,143.05,169.78,177.74,328.31,119.4,217.36,316.15,176.94,372.69,191.96,374.73,322.14,282.14,291.64,49.85,222.45,56.05,187.68,114.46,228,281.05,523.29,180.55,441,297.45,412.9,371.06,403.87,399.16,0
252.64,216.3,144.74,227.29,185.28,130.48,165.29,175.07,270.07,296.64,601.08,165.58,255.64,358.11,229.04,190.13,194.4,264.43,266.68,607.49,278.57,167.41,205.96,224.33,190.94,797.83,151.53,277.93,172.75,174.08,76.65,130.06,266,170.62,153.06,43.61,62.52,915.04,82.16,118.96,207,157.11,188.75,78.52,69.93,134.55,317.15,146.12,92.53,69.85,121.54,62.52,65.71,218.9,256.07,146.16,200.37,99.25,169.75,150.36,195.8,337.64,43.83,48.19,114.59,441.37,158.24,40.62,102.01,148.93,293.35,218.32,202.17,111.6,90.46,80.94,229.37,61.24,106.02,183.36,466.17,267.94,449.67,242.25,690.81,846.33,365.61,681.81,423.19,413.12,236.35,247.87,615.34,221.15,623.79,429.34,566.51,598.15,184,601.29,700.78,342.33,451.63,1
47.3,20,20,20,20,33.99,20,20,20,20,20,20,20,196.38,69.2,20,59.57,23.74,20,20,20,20,20,20,20,20,83.44,210.46,113.55,68.16,27.79,184.51,57.6,280.64,69.66,251.99,94.76,53.14,110.92,49.98,136,37.82,231.7,32.39,73.71,34.11,25.41,42,77.1,27.75,20,94.76,68.84,20,20,20,20,20,21.34,20,82.08,20,20,20,20,20,21.76,20,20,20,20,20,24.26,20,20,20,20,20,20,20,81.56,34.38,25.35,20,20.87,20,29.59,33.84,40.3,119.7,20,22.44,92.94,29.36,34.27,20,20,20,20,20,23.07,22.12,52.47,0
